Agent,Wins,Losses,Draws,AvgPieces,TotalGames,Map,Timestamp,Opponent,MatchID
MCTS_Domain_600,0,4,0,5.38,4,position_1_5_empty_b.txt,2025-06-05 19:28:34,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-28-34
Minimax+AB,2,0,0,13.75,2,position_1_5_empty_b.txt,2025-06-05 19:28:47,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-28-47
MCTS_Domain_600,0,2,0,10.75,2,position_1_5_empty_b.txt,2025-06-05 19:28:47,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-28-47
Minimax+AB,2,0,0,13.75,2,position_1_5_empty_b.txt,2025-06-05 19:31:04,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-31-04
MCTS_Domain_600,0,2,0,10.75,2,position_1_5_empty_b.txt,2025-06-05 19:31:04,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-31-04
Minimax+AB,2,0,0,13.5,2,position_1_5_empty_b.txt,2025-06-05 19:33:53,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-33-53
MCTS_Domain_600,0,2,0,11.0,2,position_1_5_empty_b.txt,2025-06-05 19:33:53,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-33-53
Minimax+AB,2,0,0,13.75,2,position_1_5_empty_b.txt,2025-06-05 19:33:58,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-33-58
MCTS_Domain_600,0,2,0,10.75,2,position_1_5_empty_b.txt,2025-06-05 19:33:58,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-33-58
Minimax+AB,2,0,0,13.75,2,position_1_5_empty_b.txt,2025-06-05 19:36:00,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-36-00
MCTS_Domain_600,0,2,0,10.75,2,position_1_5_empty_b.txt,2025-06-05 19:36:00,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-36-00
Minimax+AB,2,0,0,13.5,2,position_1_5_empty_b.txt,2025-06-05 19:41:54,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-41-54
MCTS_Domain_600,0,2,0,11.0,2,position_1_5_empty_b.txt,2025-06-05 19:41:54,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-41-54
Minimax+AB,1,1,0,11.25,2,position_18_7_empty_w.txt,2025-06-05 19:42:19,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-42-19
MCTS_Domain_600,1,1,0,13.25,2,position_18_7_empty_w.txt,2025-06-05 19:42:19,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-42-19
Minimax+AB,2,0,0,15.0,2,position_18_7_empty_w.txt,2025-06-05 19:47:28,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-47-28
MCTS_Domain_600,0,2,0,9.5,2,position_18_7_empty_w.txt,2025-06-05 19:47:28,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-47-28
Minimax+AB,2,0,0,13.5,2,position_18_7_empty_w.txt,2025-06-05 19:47:34,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-47-34
MCTS_Domain_600,0,2,0,11.0,2,position_18_7_empty_w.txt,2025-06-05 19:47:34,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-47-34
Minimax+AB,2,0,0,15.75,2,position_18_7_empty_w.txt,2025-06-05 19:52:10,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-52-10
MCTS_Domain_600,0,2,0,8.75,2,position_18_7_empty_w.txt,2025-06-05 19:52:10,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-52-10
Minimax+AB,2,0,0,14.25,2,position_18_7_empty_w.txt,2025-06-05 19:52:20,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-52-20
MCTS_Domain_600,0,2,0,10.25,2,position_18_7_empty_w.txt,2025-06-05 19:52:20,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_19-52-20
Minimax+AB,2,0,0,15.0,2,position_18_7_empty_w.txt,2025-06-05 20:16:56,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-16-56
MCTS_Domain_600,0,2,0,9.5,2,position_18_7_empty_w.txt,2025-06-05 20:16:56,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-16-56
Minimax+AB,2,0,0,16.0,2,position_18_7_empty_w.txt,2025-06-05 20:17:06,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-17-06
MCTS_Domain_600,0,2,0,8.5,2,position_18_7_empty_w.txt,2025-06-05 20:17:06,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-17-06
Minimax+AB,10,0,0,2.81,10,position_18_7_empty_w.txt,2025-06-05 20:17:27,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-17-27
MCTS_Domain_600,0,10,0,2.09,10,position_18_7_empty_w.txt,2025-06-05 20:17:27,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-17-27
Minimax+AB,10,0,0,3.05,10,position_18_7_empty_w.txt,2025-06-05 20:18:52,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-18-52
MCTS_Domain_600,0,10,0,1.85,10,position_18_7_empty_w.txt,2025-06-05 20:18:52,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-18-52
Minimax+AB,7,3,0,2.56,10,position_18_7_empty_w.txt,2025-06-05 20:19:26,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-19-26
MCTS_Domain_600,3,7,0,2.34,10,position_18_7_empty_w.txt,2025-06-05 20:19:26,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-19-26
Minimax+AB,10,0,0,2.72,10,position_18_7_empty_w.txt,2025-06-05 20:19:49,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-19-49
MCTS_Domain_600,0,10,0,2.18,10,position_18_7_empty_w.txt,2025-06-05 20:19:49,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-19-49
Minimax+AB,10,0,0,2.56,10,position_18_7_empty_w.txt,2025-06-05 20:23:39,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-23-39
MCTS_Domain_600,0,10,0,2.34,10,position_18_7_empty_w.txt,2025-06-05 20:23:39,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-23-39
Minimax+AB,10,0,0,2.62,10,position_1_5_empty_b.txt,2025-06-05 20:24:17,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-24-17
MCTS_Domain_600,0,10,0,2.28,10,position_1_5_empty_b.txt,2025-06-05 20:24:17,Minimax+AB,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-24-17
Minimax+AB,10,0,0,2.66,10,position_1_5_empty_b.txt,2025-06-05 20:26:50,MCTS_Domain_600,Minimax+AB_vs_MCTS_Domain_600_2025-06-05_20-26-50
